Name,Slug,Collection ID,Locale ID,Item ID,Archived,Draft,Created On,Updated On,Published On,Doctor Designation,Doctor Thumbnail,Doctor Details Image,Doctor Bio,Speciality,Work Experience,Awards & Recognition,Available Doctor,Available Doctor Thumb Background,Doctor Degrree,NUMBER,Order
 Dr. Disha Soni,dr-disha-soni,6a642e89aa147c13e7d1a688,6a642e89aa147c13e7d1a65f,6a642e89aa147c13e7d1acc0,false,false,Tue Jan 28 2025 02:41:42 GMT+0000 (Coordinated Universal Time),Tue Apr 28 2026 07:05:59 GMT+0000 (Coordinated Universal Time),,physiotherapist,https://cdn.prod.website-files.com/6890521b31848ff8d5bc904f/6890521b31848ff8d5bc9508_679843c41b7b3ca186f542f9_PHOTO-2025-01-27-12-25-07.png,https://cdn.prod.website-files.com/6890521b31848ff8d5bc904f/6890521b31848ff8d5bc9508_679843c41b7b3ca186f542f9_PHOTO-2025-01-27-12-25-07.png,"<p id="""">Dr. Disha Soni is a passionate and committed physiotherapist with two years of expertise improving patient lives with excellent care.</p><h3 id=""""><strong id=""""> Professional Background</strong></h3><p id="""">- *Specialization:* Traumatic and Non-Traumatic Post-Op Physiotherapy<br>- *Experience:* 2 years<br>- *Education:* Bachelors of Physiotherapy,<br>- Ahmedabad physiotherapy college<br>‍</p><h3 id=""""><strong id="""">Expertise</strong></h3><p id="""">- Traumatic Physiotherapy (e.g., spinal injuries, orthopedic conditions)<br>- Non-Traumatic Post-Op Physiotherapy (e.g., joint replacements, surgeries)<br>- Rehabilitation and Recovery<br>- Pain Management<br>- Injury Prevention</p><p id="""">‍</p><h3 id=""""><strong id="""">Approach</strong></h3><p id=""""><strong id="""">‍</strong><br>Dr. Disha Soni advocates individualized care, creating treatment programs to meet the specific requirements of every patient. Her mission is to enable people to reach their full potential in terms of mobility, well-being, and physical function.</p><p id="""">*Professional philosophy*<br> <br>Dr. Disha Soni works constantly to provide her patients with evidence-based, empathetic care that builds their confidence. Together, let's strive for a happier, healthier one's self!</p><p id="""">‍</p>",,,"<h4 id="""">Certifications:</h4><p id="""">‍<br> &nbsp; &nbsp; &nbsp; CPR Certified <br> &nbsp; &nbsp; &nbsp; Diet and Nutrition basic.<br> &nbsp; &nbsp; &nbsp; Taping Therapy.</p><p>‍</p>",false,,,6,
Dr Jay Shah,dr-jay-shah,6a642e89aa147c13e7d1a688,6a642e89aa147c13e7d1a65f,6a642e89aa147c13e7d1acc1,true,true,Fri Oct 18 2024 09:39:44 GMT+0000 (Coordinated Universal Time),Thu Dec 19 2024 12:00:17 GMT+0000 (Coordinated Universal Time),,Dr Jay Shah,https://cdn.prod.website-files.com/6890521b31848ff8d5bc904f/6890521b31848ff8d5bc94f5_HCG_Website-Doctors-Images_300-x-300_Ahmedabad_Dr-Jay-Shah_01.png,https://cdn.prod.website-files.com/6890521b31848ff8d5bc904f/6890521b31848ff8d5bc94f5_HCG_Website-Doctors-Images_300-x-300_Ahmedabad_Dr-Jay-Shah_01.png,,,,,false,,M.B.B.S and M.D (Medicine),6,
Dr Yuji Okuno,dr-yuji-okuno,6a642e89aa147c13e7d1a688,6a642e89aa147c13e7d1a65f,6a642e89aa147c13e7d1acc2,true,true,Fri Oct 18 2024 09:42:16 GMT+0000 (Coordinated Universal Time),Thu Dec 19 2024 12:00:17 GMT+0000 (Coordinated Universal Time),,Interventional radiology,https://cdn.prod.website-files.com/6890521b31848ff8d5bc904f/6890521b31848ff8d5bc94f6_img01.png,https://cdn.prod.website-files.com/6890521b31848ff8d5bc904f/6890521b31848ff8d5bc94f6_img01.png,,,,,false,,Interventional radiology,7,
Dr. Dimple Parmar,dr-dimple,6a642e89aa147c13e7d1a688,6a642e89aa147c13e7d1a65f,6a642e89aa147c13e7d1acc3,false,false,Thu Aug 22 2024 18:15:49 GMT+0000 (Coordinated Universal Time),Thu Oct 16 2025 07:26:37 GMT+0000 (Coordinated Universal Time),,Doctor - BnG Vascular,https://cdn.prod.website-files.com/6890521b31848ff8d5bc904f/6890521b31848ff8d5bc94ab_dimple.avif,https://cdn.prod.website-files.com/6890521b31848ff8d5bc904f/6890521b31848ff8d5bc94ab_dimple.avif,"<h3 id="""">About Me</h3><p id="""">Hello, I'm Dr.Dimple Parmar (B.P.T.,G.S.C.P.T), a dedicated and passionate physiotherapist with 4 years of experience in helping patients to relieve from different type of joints pain and vascular conditions . With a strong educational background in physiotherapy, including a [bpt] from Gujarat university , and a commitment to ongoing professional development, I provide personalized and evidence-based care to individuals with various physical conditions and needs.</p><h3 id="""">Professional Experience</h3><p id="""">My expertise spans a range of areas, including orthopedics and vascular conditions.. I've had the privilege of working with diverse patient populations, from young athletes to seniors, and have a deep understanding of the unique challenges and goals each individual faces.</p><p>‍</p><h3 id="""">Areas of Expertise:</h3><p id="""">My approach &nbsp;is centered around empowering patients to take control of their health and wellness. I believe in creating a supportive and collaborative environment, where patients feel comfortable sharing their concerns and goals. Through active listening, thorough assessments, and tailored treatment plans, I work closely with each patient to address their specific needs and achieve optimal outcomes.</p><p id="""">I'm passionate about staying up-to-date with the latest research and advancements , ensuring my patients receive the most effective and innovative care possible. My goal is to not only alleviate pain and improve function but also to educate and equip patients with the knowledge and tools necessary for long-term success and wellness.</p><p id="""">Whether you're recovering from an injury, managing a chronic condition, or seeking to enhance your overall health , I'm committed to helping you achieve your goals and live a healthier, more active life.""</p><p id="""">‍</p>","<p id="""">My expertise encompasses a broad spectrum of medical areas, with a strong focus on both orthopedics and vascular conditions. Over the years, I have developed a deep understanding of these fields, allowing me to provide specialized care that is meticulously tailored to the unique needs of each patient. </p><p id="""">In orthopedics, I address a wide range of musculoskeletal issues, from joint pain and sports injuries to chronic conditions that affect mobility. My approach to vascular conditions is equally comprehensive, ensuring that patients receive the most advanced and effective treatments available. </p><p id="""">My commitment is to create personalized treatment plans that not only address the immediate concerns but also contribute to the overall improvement of the patient's quality of life, helping them achieve the best possible outcomes.</p><p>‍</p>","<p>Throughout my career, I have had the distinct privilege of working with a remarkably diverse range of patient populations. This includes young athletes who are striving to reach their peak physical performance, as well as seniors who are seeking to maintain their mobility and health as they age. </p><p>This extensive experience has provided me with a profound understanding of the unique challenges and goals that each individual faces. For young athletes, the focus often lies in optimizing performance and recovering from injuries swiftly and safely, while for seniors, the emphasis is on preserving function and enhancing quality of life. </p><p>My work with such varied groups has equipped me with the skills and insights necessary to provide compassionate, effective care that is tailored to the specific needs of each patient, regardless of their age, condition, or circumstances. This experience has not only enriched my professional journey but has also reinforced my dedication to delivering the highest standard of care to every patient I serve.</p>",,false,"hsla(224.34782608695653, 16.08%, 28.04%, 1.00)",Physiotherapist,4,
Dr. Janvi B. Shah,dr-janvi,6a642e89aa147c13e7d1a688,6a642e89aa147c13e7d1a65f,6a642e89aa147c13e7d1acc4,false,false,Thu Nov 16 2023 05:15:44 GMT+0000 (Coordinated Universal Time),Thu Dec 19 2024 13:59:20 GMT+0000 (Coordinated Universal Time),,Doctor - BnG Vascular,https://cdn.prod.website-files.com/6890521b31848ff8d5bc904f/6890521b31848ff8d5bc94f8_Frame%203436.png,https://cdn.prod.website-files.com/6890521b31848ff8d5bc904f/6890521b31848ff8d5bc94f8_Frame%203436.png,"<h3 id="""">About Me</h3><p id="""">I'm Dr. Janvi B. Shah, a dedicated and passionate Physiotherapist with 2 years of experience in enhancing patient lives through expert care.</p><p id=""""><strong>Professional Background</strong></p><p id="""">- Specialization: Traumatic and Non-Traumatic Post-Op Physiotherapy<br>- Experience: 2 years<br>- Education: Bachelors of Physiotherapy,<br>- University - The Maharaja Sayajirao University of Baroda<br>- Certifications:<br> &nbsp; &nbsp; &nbsp; IASTM Therapy, <br> &nbsp; &nbsp; &nbsp; Cupping Therapy,<br> &nbsp; &nbsp; &nbsp; Taping Therapy.</p><p>‍</p>","<h3 id="""">Expertise</h3><p id="""">- Traumatic Physiotherapy (e.g., spinal injuries, orthopedic conditions)<br>- Non-Traumatic Post-Op Physiotherapy (e.g., joint replacements, surgeries)<br>- Rehabilitation and Recovery<br>- Pain Management<br>- Injury Prevention</p><p id=""""><strong>Approach</strong></p><p id="""">I believe in personalized care, tailoring treatment plans to address each patient's unique needs. My goal is to empower individuals to achieve optimal physical function, mobility, and well-being.</p><p id=""""><strong>Professional Philosophy</strong></p><p id="""">""I strive to deliver compassionate, evidence-based care, fostering trust and confidence in my patients. Let's work together towards a healthier, happier you!""</p><p id="""">‍</p><p id="""">‍</p>","<p id="""">With four years of experience in the field, I have had the opportunity to work with a diverse group of patients suffering from various joint pain and vascular conditions. My approach is rooted in passion and dedication, ensuring that each patient receives personalized care tailored to their unique needs. My goal is to help them recover from painful conditions and enhance their quality of life, adding not just years to their life but life to their years.</p><p>‍</p>",,false,#c4c4c4,Physiotherapist,5,
Dr. Mohal Banker,dr-mohal-banker,6a642e89aa147c13e7d1a688,6a642e89aa147c13e7d1a65f,6a642e89aa147c13e7d1acc5,false,true,Thu Nov 16 2023 05:13:36 GMT+0000 (Coordinated Universal Time),Tue Apr 28 2026 07:04:24 GMT+0000 (Coordinated Universal Time),,Director - BnG Vascular,https://cdn.prod.website-files.com/66a28fa9afd9089de50399e2/66c6a63c340ea4cad3466596_mohal.png,https://cdn.prod.website-files.com/66a28fa9afd9089de50399e2/66c6a63c340ea4cad3466596_mohal.png,"<h3 id="""">About Me</h3><p id="""">Dr. Mohal Banker is a board-certified Interventional Radiologist who has been practicing in Ahmedabad, Gujarat, India since 2001. Before this, he received a Bachelor of Medicine and Surgery from M. P. Shah Medical College in Jamnagar in 1997. Dr. Banker received his radiology training at Guru Gobind Singh Hospital in Jamnagar in 2000. Dr. Banker received Vascular Malformation treatment training from Dr. Wayne Yakes in USA. Dr Banker is specialized in pain treatment of Different Joints of body like knee and Shoulder.<br><br>Dr. Banker specializes in genicular artery embolization and cooled radiofrequency nerve ablation for knee discomfort.This method help spatients with knee discomfort and provides pain-free intervals for an extended period of time. He treats joint pain with pain embolization technique. Dr. Banker &amp; Dr. Gandhi have performed the first case of India for knee pain with genicular embolization.</p><h3 id="""">Professional Experience</h3><ul id=""""><li id=""""><a href=""https://www.bankersvascular.com/about-banker-vascular-center"">Bankers Vascular Hospital - Vascular Center</a></li></ul><h3 id="""">Social Activity:</h3><p id="""">Dr Banker loves to travel &amp; explore new places. He loves incredible india. He runs popular travel blog <a id="""" href=""http://www.loveuzindagi.org/"">www.loveuzindagi.org</a> &nbsp;with only purpose to popularize Indian tourist destination. Dr banker believes that india has everything from mountain to dessert but it’s not properly marketed yet.</p><p id="""">Another social activity is to create awareness for human psychology &amp; emotional health. He runs <a href=""/bankers-notes"">Bankers Notes</a> on his website for it.</p>","<h3 id="""">Speciality</h3><p id="""">Interventional Radiology is fastly growing field. It has replaced many complex surgeries in noninvasive procedures. In many disease , because of interventional radiology treatment is possible.</p><p id="""">Many years back, when i have done my first case of endovenous laser ablation in 2008, <a href=""https://bankersvascular.com/varicose-vein/""><strong id="""">Varicose Vein Treatment</strong></a><strong id=""""> </strong>predominantly done by ligation &amp; stripping surgery. Gradually its replaced by noninvasive modalities like endovenous thermal ablation &amp; other. It has replaced surgery with advanced daycare procedure. Dr Mohal Banker has done more than 12000 procedures &amp; has wast experience on this disease.</p><p id="""">‍</p><h3 id="""">Areas of Expertise:</h3><ul id=""""><li id="""">Pediatric Primary Care</li><li id="""">Preventive Medicine</li><li id="""">Acute and Chronic Illness Management</li><li id="""">Developmental Milestones</li><li id="""">Neonatal Medicine</li><li id="""">Pediatric Respiratory Disorders</li><li id="""">Nutritional Counseling</li></ul>","<h3 id="""">Work Experience</h3><p id="""">During his long practice, he has specialized in endovenous thermal ablation procedure for varicose vein. He had received training from world renowned surgeons from world including Dr.ted king(usa), Dr.uhl, Dr.begini(france) and Dr.mark malou(Australia). He is one of the first to use radiofrequency ablation for varicose veins, tumescent anesthesia for endovenous thermal ablation in western india. Dr banker has treated more than 12000 varicose vein pt. with endovenous thermal ablations(laser &amp; radiofrequency) &amp; foam sclerotherapy procedures. Dr Banker has done first case of venaseal glue embolization in Gujarat.</p><p id="""">Dr Banker has special interest in treating vascular malformation disease. Vascular malformation is very complex disease &amp; &nbsp;most of the time surgery is failed to treat it. &nbsp;Dr banker has taken training from dr wayne yake , usa &nbsp;for absolute ethanol embolisation in vascular malformation . Dr banker is also first to start absolute ethanol embolisation for vascular malformation in western india.</p><p id="""">Dr Banker has also special interest in <a href=""https://www.bankersvascular.com/treatment/genicular-artery-embolization"">Genicular Artery Embolisation</a> &amp; cooled <a href=""https://www.bankersvascular.com/treatment/radiofrequency-ablation"">Radiofrequency</a> nerve ablation, &nbsp;for knee pain. This modality works in knee pain patient &amp; it gives pain free interval for long duration. &nbsp;Dr Banker &amp; Dr Gandhi has done 1<sup id="""">st</sup> case of Genicular Artery Embolisation in entire india.</p><p id="""">Dr. Banker belongs to many professional societies &amp; participates regularly in national &amp; international conferences, seminars &amp; workshops. Dr. banker operates an approved well equipped day care Surgical Facility at Bankers Vascular hospital pvt. Ltd 3<sup id="""">rd</sup> floor, RJP House, Near sahjanand complex, anandnagar road, satellite, Ahmedabad. Clinic has got all the latest facilities, radiofrequency &amp; lasers required for varicose vein endovenous thermal ablations.</p><p id="""">‍</p><h3 id="""">Memberships:</h3><ul id=""""><li id="""">Indian Medical Association</li><li id="""">Indian radiology &amp; imaging association.</li><li id="""">Venous association of India. </li><li id="""">Indian Society of interventional radiology.</li><li id="""">Vascular society of India</li></ul>","<h3 id="""">Awards</h3><p id="""">Dr. Mohal Banker is a board-certified Interventional Radiologist who has been practicing in Ahmedabad, Gujarat, India since 2001. Before this, he received a Bachelor of Medicine and Surgery from M. P. Shah Medical College in Jamnagar in 1997. Dr. Banker received his radiology training at Guru Gobind Singh Hospital in Jamnagar in 2000. Dr. Banker received Vascular Malformation treatment training from Dr. Wayne Yakes in USA. Dr Banker is specialized in pain treatment of Different Joints of body like knee and Shoulder.<br><br>Dr. Banker specializes in genicular artery embolization and cooled radiofrequency nerve ablation for knee discomfort.This method help spatients with knee discomfort and provides pain-free intervals for an extended period of time. He treats joint pain with pain embolization technique. Dr. Banker &amp; Dr. Gandhi have performed the first case of India for knee pain with genicular embolization.</p><h3 id="""">Presentations &amp; CME</h3><ul id=""""><li id=""""><em id="""">“Varicose vein-Evlt new ara of treatment” </em></li><li id=""""><em id="""">“Recent advances in Varicose vein treatment”</em></li><li id=""""><em id="""">“Leg ulcer- Endovascular approach”</em></li><li id=""""><em id="""">“Varicose vein- a new era of interventional radiology”</em></li><li id="""">“Varicose vein-is it life threatening disease?”</li><li id="""">“C.D.T.-new weapon to fight against D.V.T.”</li><li id="""">“Vascular malformation – absolute ethanol embolisation”</li><li id="""">“Bankers note- human psychological biases”</li><li id="""">“Slow flow malformation of face-case report”</li><li id="""">“Genicular artery embolisation-new way to treat osteoarthritis of knee”</li></ul><h3 id="""">Areas of Expertise:</h3><ul id=""""><li id=""""><a href=""https://www.bankersvascular.com/departments/varicose-vein""><em id="""">Varicose Vein</em></a></li><li id=""""><a href=""""><em>GAE</em></a></li><li id=""""><a href=""""><em id="""">Knee Pain</em></a></li><li id=""""><a href=""https://www.bankersvascular.com/departments/heel-pain""><em id="""">Heel Pain</em></a></li><li id=""""><a href=""https://www.bankersvascular.com/treatment/radiofrequency-ablation""><em id="""">Radiology Vascular</em></a></li></ul><p id="""">Dr. Banker teaches other doctors regularly. he delivers lectures regularly for local organizations &amp; his articles appear in important magazines &amp; news papers. Dr Banker was one of the invitee as a international speaker in varicose vein meet in Singapore. Dr banker organizes yearly conference in name of cvccon. Few of the topics of dr banker’s talk is given below.</p><p><a href=""https://www.bankersvascular.com/training"">Check Dr.Bankers' Training Program</a></p>",false,#3b2020,Interventional Radiologist,1,1
Dr. Payal Vadlani,dr-payal-vadlani,6a642e89aa147c13e7d1a688,6a642e89aa147c13e7d1a65f,6a642e89aa147c13e7d1acc6,false,false,Sat Apr 25 2026 11:27:11 GMT+0000 (Coordinated Universal Time),Tue Apr 28 2026 07:09:04 GMT+0000 (Coordinated Universal Time),,BPT,,https://cdn.prod.website-files.com/6a642e89aa147c13e7d1a65e/6a642e89aa147c13e7d1ab2a_DSC01445.JPG.jpeg,"<p>Dr. Payal Vadlani is a passionate and highly motivated physiotherapy professional who earned her Bachelor of Physiotherapy from L.J. College of Physiotherapy. With a solid academic background and a deep commitment to patient well-being, she strives to deliver high-quality, evidence-based &nbsp;care tailored to individual needs.<br>She has developed a keen interest in the assessment and management of vascular conditions, joint pain, and non-surgical treatments. Her clinical approach emphasizes accurate diagnosis, patient education, and customized treatment plans that focus on pain relief, restoring mobility, and preventing recurrence. She believes in empowering patients through awareness and active participation in their recovery process.</p>","<p>Dr. Payal is particularly inclined towards conservative management techniques to achieve optimal outcomes without surgical intervention whenever possible. Her goal is to enhance functional independence and improve overall quality of life for her patients.<br>Known for her empathetic nature and strong communication skills, she builds trusting relationships with her patients, ensuring they feel supported and confident throughout their rehabilitation journey. She is also committed to continuous learning and staying updated with the latest advancements in physiotherapy to provide the best possible care.<br>With a holistic and patient-centric approach, Dr. Payal Vadlani is dedicated to helping in a pain-free lifestyle.</p>",<p>Patient care specialist with 6 year of experience in patient management skilled in coordinating care handling patient interaction and ensuring a seamless healthcare experience. strong communicator with a focus on patient satisfaction and operational efficiency.</p>,,true,#0000001a,BPT GSCPT,9,9
Dr. Prashant Bhimani,dr-prashant-bhimani,6a642e89aa147c13e7d1a688,6a642e89aa147c13e7d1a65f,6a642e89aa147c13e7d1acc7,true,true,Fri Oct 18 2024 09:45:50 GMT+0000 (Coordinated Universal Time),Thu Dec 19 2024 12:00:17 GMT+0000 (Coordinated Universal Time),,Senior Consultant Psychologist,https://cdn.prod.website-files.com/6890521b31848ff8d5bc904f/6890521b31848ff8d5bc9502_Screenshot%202024-10-18%20at%203.18.52%E2%80%AFPM.png,,,,,,false,,Senior Consultant Psychologist,8,
Dr. Pratiksha Patoliya ,dr-pratiksha-patoliya,6a642e89aa147c13e7d1a688,6a642e89aa147c13e7d1a65f,6a642e89aa147c13e7d1acc8,false,false,Tue Jan 28 2025 02:50:51 GMT+0000 (Coordinated Universal Time),Thu Aug 21 2025 13:05:13 GMT+0000 (Coordinated Universal Time),,,https://cdn.prod.website-files.com/6890521b31848ff8d5bc904f/6890521b31848ff8d5bc950a_679845c2f57365dfb78d1228_Screenshot%202025-01-28%20at%208.19.24%E2%80%AFAM.png,https://cdn.prod.website-files.com/6890521b31848ff8d5bc904f/6890521b31848ff8d5bc950a_679845c2f57365dfb78d1228_Screenshot%202025-01-28%20at%208.19.24%E2%80%AFAM.png,"<p id="""">Dr. Pratiksha Patoliya, certified physiotherapist with over two years of experience in providing. &nbsp;comprehensive care to patients of all ages.she earned her degree from B.J Medical college and complete her internship at civil hospital, ahmedabad </p><p id=""""><br>Dr.Pratiksha is dedicated to advise minimal invasive solutions &nbsp;that prioritize patients recovery and long term health </p><p id="""">Her goal is to improve the quality of life for her patients while minimising recovery time and discomfort.</p><p id="""">‍</p><h3 id="""">Specialties</h3><p id="""">‍<br> <br>Dr.Pratiksha also known for her patient centred approch, helping individuals to understand their condition &amp; feel empowered throughout their treatment.<br>She also have expertise in dry needling, cupping, tapping like therapeutical areas.<br> <br>‍</p><p id=""""> </p>","<h3 id="""">Expertise</h3><p id="""">- Traumatic Physiotherapy (e.g., spinal injuries, orthopedic conditions)<br>- Non-Traumatic Post-Op Physiotherapy (e.g., joint replacements, surgeries)<br>- Rehabilitation and Recovery<br>- Pain Management<br>- Injury Prevention</p><p>‍</p>","<h3 id=""""> Work experience</h3><p id="""">‍<br> Dr Pratiksha Patoliya has over a 2 year of experience in providing comprehensive treatment to vascular patients nd of the patients of other areas as well.</p><p id="""">‍</p>","<h3 id="""">Certifications:</h3><p id="""">- Needing Therapy, <br>- Taping Therapy,<br>- CuppingTherapy.</p><p id="""">‍</p><h3 id="""">Awards and recognition</h3><p id="""">‍<br> <br>Dr. Pratiksha Patoliya is recognized by Gujarat State council of physiotherapy</p><p id="""">‍</p><p id="""">‍</p>",false,,,8,
Dr. Rozil Gandhi,dr-rozil-gandhi,6a642e89aa147c13e7d1a688,6a642e89aa147c13e7d1a65f,6a642e89aa147c13e7d1acc9,false,false,Thu Nov 16 2023 05:15:00 GMT+0000 (Coordinated Universal Time),Tue Apr 28 2026 07:04:36 GMT+0000 (Coordinated Universal Time),,Joint Director  - BnG Vascular,https://cdn.prod.website-files.com/6a642e89aa147c13e7d1a65e/6a642e89aa147c13e7d1a8a7_rozil.avif,https://cdn.prod.website-files.com/6a642e89aa147c13e7d1a65e/6a642e89aa147c13e7d1a8a7_rozil.avif,"<h3 id="""">About Me</h3><p id="""">Dr. Rozil Gandhi &nbsp;is a highly skilled and compassionate Interventional Radiologist </p>","<h3 id="""">Speciality</h3><p id="""">PostInstituteJoiningCompletionResidency as D.M.R.D candidateM. P. Shah Medical College, Jamnagar, Gujarat.31/05/200730/05/2009Lecturer[GPSC confirmed]B. J. Medical College, Ahmedabad31/05/200931/07/2009DNB RegistrarJaslok Hospital &amp; Research Centre, Mumbai01/08/200931/07/2011Fellow in Interventional RadiologyTata Memorial Hospital, Mumbai01/08/201131/08/2013CIRSE FellowOdense University Hospital, Odense, Denmark27/09/201317/01/2014</p><p id="""">‍</p>","<h3 id="""">Work Experience</h3><p id="""">Working in the field of interventional oncoradiology since 8 years</p><p id="""">‍</p><p id="""">‍</p>","<h3 id="""">Awards</h3><ul id=""""><li id="""">Awarded a Cardiovascular and Interventional Radiology Association of Europe Fellowship Grant(10000 euros) for Asia-Pacific region.</li><li id="""">Passed <strong id="""">DNB</strong> [Diplomate of National Board] exams in <strong id="""">first attempt</strong>.</li><li id="""">Awarded <strong id="""">Gold medal</strong> in postgraduate DMRD final examination in Saurashtra University.</li><li id="""">Achieved 5<sup id="""">th</sup> rank in postgraduate entrance test conducted by Saurashtra University and took DMRD.</li><li id="""">Presented “CAROLI SYNDROME WITH ARPKD” &amp; Won 2<sup id="""">nd</sup> price in Nanavati MRI Conference held on 2<sup id="""">nd</sup> – 6<sup id="""">th</sup> April 2009.</li><li id="""">Presented “THERASPHERE IN TREATMENT OF LIVER TUMOURS” as EDUCATION EXHIBIT and Won 1<sup id="""">st</sup> prize in IRIA held in Ahmedabad in January 2010.</li><li id="""">Presented paper on “ULTRASOUND AND COLOR DOPPLER IN EVALUATION OF COMPLICATIONS OF LIVER TRANSPLANT” in AFSUMB 2010 in New Delhi and won certificate of appreciation [2<sup id="""">nd</sup> prize].</li><li id="""">Presented paper on “SAFETY, RESPONSE AND TOXICITY PROFILE OF RADIOEMBOLIZATION IN HCC” in ISVIR 2013 and was awarded best scientific paper which was displayed in SIR 2013.</li></ul><p id="""">Publications:<br><br>N. Umesh , P.H. Pramodbhai , C.S. Laxmidas , M.M. Taiyabali, <strong id="""">G.R. Jayesh</strong>, R.S. A : MR FINDINGS OF VERTEBRAL AVM.The Internet Journal of Radiology. 2012 Volume 14 Issue 1.</p><li id=""""><strong id="""">Gandhi</strong>, N. Bahri, H. Parekh, S. Chudasama, N. Doshi &amp; C. Muniya : OVARIAN TORSION WITH RUPTURED OVARIAN HAEMORRHAGE WITH MASSIVE HEMOPERITONEUM IN A CASE OF ITP. The Internet Journal of Radiology<em id="""">. </em>2010 Volume 11 Number 2.</li><li id=""""><strong id="""">Gandhi</strong>, N. Bahri, H. Parekh, S. Chudasama, M T Makada, N. Doshi. Case Report – HYDROXYAPATITE DEPOSITION DISEASE – CASE REPORT AND REVIEW OF LITERATURE — Gujarat Medical Journal. Aug 2009, Volume 4, Issue 8, 85-88.</li><li id=""""><strong id="""">Gandhi</strong>, N. Bahri, H. Parekh, S. Chudasama, C. Shah, B. Daraniya. Case report- REVIEW OF LITERATURE AND MR FINDINGS OF OCHRONOSIS- Gujarat Medical Journal. Feb 2010, Vol 5, Issue 2, 39-46.</li><li id="""">P Joshi, V Lele, <strong id="""">R Gandhi</strong>. Case Report – Incidental Detection of Clinically Occult FSH secreting Pituitary adenoma on whole body 18FDG PET-CT – Indian Journal of Nuclear Medicine. 2011 Jan-Mar; 26(1): 34–35.</li><li id="""">S Desai, <strong id="""">R Gandhi</strong>, J S George. CHARACTERIZATION OF RENAL STONES USING GSI – GE CT publication – Case \Study, Spectral imaging, June, 2011, 48-49.</li><li id="""">Joshi P, Lele V, <strong id="""">Gandhi R</strong>. Fluorodeoxyglucose positron emission tomography-computed tomography scan and nuclear magnetic resonance findings in a case of Stewart-Treves syndrome. J Can Res Ther 2011;7:360-3</li><li id="""">Joshi PV, Lele V, <strong id="""">Gandhi R.</strong> An unusual case of extra-osseous accumulation of a bone scan tracer in a renal calculus – demonstration by SPECT-CT. J Clin Imaging Sci. 2012; 2:4.</li><li id="""">Joshi PV, Lele V, <strong id="""">Gandhi R, </strong>Parab A. Honda Sign on 18-FDG PET/CT in a Case of Lymphoma Leading to Incidental Detection of Sacral Insufficiency Fracture. J Clin Imaging Sci. 2012; 2:29.</li><li id=""""><strong id="""">Rozil Gandhi</strong>, Ritu Kakkar, Sajeev Rajan, Rashmi Bhangale, and Shrinivas Desai, “Menkes Kinky Hair Syndrome: A Rare Neurodegenerative Disease,”Case Reports in Radiology, vol. 2012.</li><li id=""""><strong id="""">Rozil Jayesh Gandhi</strong>, Kunal Bharat Gala, Aditi R Gandhi. Role of Transarterial Embolization in the Management of Hepatic Artery Pseudoaneurysm Postlaparoscopic Cholecystectomy. J Clin Interv Radiol ISVIR : 2020; 4:148–153.</li><h3 id="""">‍</h3>",false,"hsla(224.34782608695653, 16.08%, 28.04%, 1.00)",Interventional Radiologist,2,2
