Name,Slug,Collection ID,Locale ID,Item ID,Archived,Draft,Created On,Updated On,Published On,Image,Price (INR),Subtitle,Anchor Slug,Active
Ankle Pain Treatment,ankle-pain-treatment,6a642e89aa147c13e7d1a73c,6a642e89aa147c13e7d1a65f,6a642e89aa147c13e7d1ae0d,false,false,Fri Sep 26 2025 05:37:45 GMT+0000 (Coordinated Universal Time),Fri Sep 26 2025 05:37:45 GMT+0000 (Coordinated Universal Time),,,80000,Diagnosis and interventional care,ankle-pain-treatment,true
Football Injury Treatment,football-injury-treatment,6a642e89aa147c13e7d1a73c,6a642e89aa147c13e7d1a65f,6a642e89aa147c13e7d1ae0e,false,false,Fri Sep 26 2025 05:37:45 GMT+0000 (Coordinated Universal Time),Fri Sep 26 2025 05:37:45 GMT+0000 (Coordinated Universal Time),,,,Targeted diagnosis and care,football-injury-treatment,true
Frozen Shoulder Pain,frozen-shoulder-pain,6a642e89aa147c13e7d1a73c,6a642e89aa147c13e7d1a65f,6a642e89aa147c13e7d1ae0f,false,false,Fri Sep 26 2025 05:37:45 GMT+0000 (Coordinated Universal Time),Fri Sep 26 2025 05:37:45 GMT+0000 (Coordinated Universal Time),,,,Adhesive capsulitis management,frozen-shoulder-pain,true
Frozen Shoulder Pain Treatment,frozen-shoulder-pain-treatment,6a642e89aa147c13e7d1a73c,6a642e89aa147c13e7d1a65f,6a642e89aa147c13e7d1ae10,false,false,Fri Sep 26 2025 05:37:45 GMT+0000 (Coordinated Universal Time),Fri Sep 26 2025 05:37:45 GMT+0000 (Coordinated Universal Time),,,100000,Minimally invasive pain relief options,frozen-shoulder-pain-treatment,true
Golf Injury Treatment,golf-injury-treatment,6a642e89aa147c13e7d1a73c,6a642e89aa147c13e7d1a65f,6a642e89aa147c13e7d1ae11,false,false,Fri Sep 26 2025 05:37:45 GMT+0000 (Coordinated Universal Time),Fri Sep 26 2025 05:37:45 GMT+0000 (Coordinated Universal Time),,,,"Back, elbow, wrist management",golf-injury-treatment,true
Gym Injury Treatment,gym-injury-treatment,6a642e89aa147c13e7d1a73c,6a642e89aa147c13e7d1a65f,6a642e89aa147c13e7d1ae12,false,false,Fri Sep 26 2025 05:37:45 GMT+0000 (Coordinated Universal Time),Fri Sep 26 2025 05:37:45 GMT+0000 (Coordinated Universal Time),,,,"Strains, tendon issues, joint pain",gym-injury-treatment,true
Heel Pain Treatment,heel-pain-treatment,6a642e89aa147c13e7d1a73c,6a642e89aa147c13e7d1a65f,6a642e89aa147c13e7d1ae13,false,false,Fri Sep 26 2025 05:37:45 GMT+0000 (Coordinated Universal Time),Fri Sep 26 2025 05:37:45 GMT+0000 (Coordinated Universal Time),,,90000,Relief for plantar fasciitis and other causes,heel-pain-treatment,true
Knee Pain Treatment,knee-pain-treatment,6a642e89aa147c13e7d1a73c,6a642e89aa147c13e7d1a65f,6a642e89aa147c13e7d1ae14,false,false,Fri Sep 26 2025 05:37:45 GMT+0000 (Coordinated Universal Time),Fri Sep 26 2025 05:37:45 GMT+0000 (Coordinated Universal Time),,,,GAE and other minimally invasive options,knee-pain-treatment,true
Neck Pain,neck-pain,6a642e89aa147c13e7d1a73c,6a642e89aa147c13e7d1a65f,6a642e89aa147c13e7d1ae15,false,false,Fri Sep 26 2025 05:37:45 GMT+0000 (Coordinated Universal Time),Fri Sep 26 2025 05:37:45 GMT+0000 (Coordinated Universal Time),,,,Posture and interventional treatment,neck-pain,true
Neck Pain (IT Professionals),neck-pain-it-professionals,6a642e89aa147c13e7d1a73c,6a642e89aa147c13e7d1a65f,6a642e89aa147c13e7d1ae16,false,false,Fri Sep 26 2025 05:37:45 GMT+0000 (Coordinated Universal Time),Fri Sep 26 2025 05:37:45 GMT+0000 (Coordinated Universal Time),,,,Ergonomics + interventional pain options,neck-pain-it-professionals,true
Piles Treatment,piles-treatment,6a642e89aa147c13e7d1a73c,6a642e89aa147c13e7d1a65f,6a642e89aa147c13e7d1ae17,false,false,Fri Sep 26 2025 05:37:45 GMT+0000 (Coordinated Universal Time),Fri Sep 26 2025 05:37:45 GMT+0000 (Coordinated Universal Time),,,,Minimally invasive approaches,piles-treatment,true
Prostatic Artery Embolization,prostatic-artery-embolization,6a642e89aa147c13e7d1a73c,6a642e89aa147c13e7d1a65f,6a642e89aa147c13e7d1ae18,false,false,Fri Sep 26 2025 05:37:46 GMT+0000 (Coordinated Universal Time),Fri Sep 26 2025 05:37:46 GMT+0000 (Coordinated Universal Time),,,,Minimally invasive BPH treatment,prostatic-artery-embolization,true
Sports Injury Treatment,sports-injury-treatment,6a642e89aa147c13e7d1a73c,6a642e89aa147c13e7d1a65f,6a642e89aa147c13e7d1ae19,false,false,Fri Sep 26 2025 05:37:46 GMT+0000 (Coordinated Universal Time),Fri Sep 26 2025 05:37:46 GMT+0000 (Coordinated Universal Time),,,,From acute to overuse injuries,sports-injury-treatment,true
Tennis Elbow Pain Treatment,tennis-elbow-pain-treatment,6a642e89aa147c13e7d1a73c,6a642e89aa147c13e7d1a65f,6a642e89aa147c13e7d1ae1a,false,false,Fri Sep 26 2025 05:37:46 GMT+0000 (Coordinated Universal Time),Fri Sep 26 2025 05:45:25 GMT+0000 (Coordinated Universal Time),,https://cdn.prod.website-files.com/6890521b31848ff8d5bc904f/68d62872b51b7c54bf6bf82d_images.jpeg,,Interventional pain management,tennis-elbow-pain-treatment,true
Varicose Vein Treatment,varicose-vein-treatment,6a642e89aa147c13e7d1a73c,6a642e89aa147c13e7d1a65f,6a642e89aa147c13e7d1ae1b,false,false,Fri Sep 26 2025 05:37:46 GMT+0000 (Coordinated Universal Time),Fri Sep 26 2025 05:39:57 GMT+0000 (Coordinated Universal Time),,,150000,"Endovenous, foam sclerotherapy, or glue options",varicose-vein-treatment,true
Vascular Malformation Treatment,vascular-malformation-treatment,6a642e89aa147c13e7d1a73c,6a642e89aa147c13e7d1a65f,6a642e89aa147c13e7d1ae1c,false,false,Fri Sep 26 2025 05:37:46 GMT+0000 (Coordinated Universal Time),Tue Oct 14 2025 09:48:42 GMT+0000 (Coordinated Universal Time),,,50000,Targeted embolization and non-surgical care,vascular-malformation-treatment,true
Vascular Malformations Care,vascular-malformations-care,6a642e89aa147c13e7d1a73c,6a642e89aa147c13e7d1a65f,6a642e89aa147c13e7d1ae1d,false,false,Fri Sep 26 2025 05:37:46 GMT+0000 (Coordinated Universal Time),Fri Sep 26 2025 05:37:46 GMT+0000 (Coordinated Universal Time),,,,Heal vascular malformations without surgery,vascular-malformations-care,true
VenaSeal Glue Embolization,venaseal-glue-embolization,6a642e89aa147c13e7d1a73c,6a642e89aa147c13e7d1a65f,6a642e89aa147c13e7d1ae1e,false,false,Fri Sep 26 2025 05:37:46 GMT+0000 (Coordinated Universal Time),Fri Sep 26 2025 05:51:20 GMT+0000 (Coordinated Universal Time),,,500000,Minimally invasive varicose vein closure,venaseal-glue-embolization,true
VenaSeal Varicose Treatment ,venaseal-varicose-treatment,6a642e89aa147c13e7d1a73c,6a642e89aa147c13e7d1a65f,6a642e89aa147c13e7d1ae1f,false,false,Fri Sep 26 2025 05:37:47 GMT+0000 (Coordinated Universal Time),Thu Mar 19 2026 12:23:09 GMT+0000 (Coordinated Universal Time),,https://cdn.prod.website-files.com/6a642e89aa147c13e7d1a65e/6a642e89aa147c13e7d1aab6_images%20(17).avif,150000,Modern Varicose Veins Care in Vadodara” ,venaseal-varicose-treatment ,true
